[2025-07-17 19:05:26.030] [info]  DiscordSplash.signalReady
[2025-07-17 19:05:26.041] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-07-17 19:05:26.041] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-07-17 19:05:26.044] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-07-17 19:05:26.044] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-07-17 19:05:26.045] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-07-17 19:05:26.045] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-07-17 19:05:26.045] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-07-17 19:05:26.045] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-07-17 19:05:26.045] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-07-17 19:05:26.045] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-07-17 19:05:26.046] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-07-17 19:05:26.046] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-07-17 19:05:26.046] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-07-17 19:05:26.046] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-07-17 19:05:26.287] [info]  DiscordSplash.onStateUpdate: {"status":"update-manually","current":6,"total":6,"newVersion":"0.0.102"}
[2025-07-17 19:05:26.287] [info]  Splash.onStateUpdate: {"status":"update-manually","current":6,"total":6,"newVersion":"0.0.102"}
[2025-07-17 19:05:27.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:05:28.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:05:29.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:05:30.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:05:31.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:05:32.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:05:33.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:05:34.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:05:35.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:05:36.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:05:37.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:05:38.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:05:39.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:05:40.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:05:41.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:05:42.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:05:43.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:05:44.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:05:45.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:05:46.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:05:47.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:05:48.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:05:49.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:05:50.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:05:51.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:05:52.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:05:53.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:05:54.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:05:55.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:05:56.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:05:57.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:05:58.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:05:59.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:00.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:01.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:02.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:03.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:04.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:05.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:06.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:07.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:08.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:09.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:10.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:11.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:12.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:13.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:14.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:15.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:16.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:17.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:18.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:19.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:20.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:21.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:22.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:23.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:24.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:25.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:26.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:27.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:28.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:29.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:30.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:31.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:32.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:33.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:34.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:35.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:36.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:37.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:38.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:39.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:40.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:41.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:42.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:43.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:44.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:45.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:46.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:47.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:48.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:49.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:50.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:51.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:52.030] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:53.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:54.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:55.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:56.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:57.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:58.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:06:59.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:07:00.031] [info]  Splash.updateCountdownSeconds: undefined
[2025-07-17 19:07:01.031] [info]  Splash.updateCountdownSeconds: undefined
